"dia","estaci","nivell_absolut","percentatge_volum_embassat","volum_embassat"
"2024-05-28T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.51","26.3","21.01"
"2024-05-28T00:00:00.000","Embassament de Susqueda (Osor)","308.75","28.3","65.83"
"2024-05-28T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.69","2.4","0.3"
"2024-05-28T00:00:00.000","Embassament de Riudecanyes","194.45","2.5","0.14"
"2024-05-28T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.88","33.9","8.26"
"2024-05-28T00:00:00.000","Embassament de Sau (Vilanova de Sau)","395.77","26.6","44.01"
"2024-05-28T00:00:00.000","Embassament de la Baells (Cercs)","608.37","44","48.13"
"2024-05-28T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.51","21.9","13.37"
"2024-05-28T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.31","66.6","2.49"
"2024-05-27T00:00:00.000","Embassament de Susqueda (Osor)","308.51","28","65.26"
"2024-05-27T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.7","2.4","0.3"
"2024-05-27T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.32","66.8","2.5"
"2024-05-27T00:00:00.000","Embassament de Sau (Vilanova de Sau)","395.59","26.4","43.55"
"2024-05-27T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.86","33.8","8.25"
"2024-05-27T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.42","21.7","13.26"
"2024-05-27T00:00:00.000","Embassament de Riudecanyes","194.46","2.6","0.14"
"2024-05-27T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.47","26.2","20.97"
"2024-05-27T00:00:00.000","Embassament de la Baells (Cercs)","608.26","43.8","47.9"
"2024-05-26T00:00:00.000","Embassament de Siurana (Cornudella de Montsant)","452.73","2.5","0.3"
"2024-05-26T00:00:00.000","Embassament de la Baells (Cercs)","608.13","43.5","47.63"
"2024-05-26T00:00:00.000","Embassament de Darnius Boadella (Darnius)","138.28","21.4","13.08"
"2024-05-26T00:00:00.000","Embassament de Sant Ponç (Clariana de Cardener)","514.84","33.8","8.23"
"2024-05-26T00:00:00.000","Embassament de Sau (Vilanova de Sau)","395.38","26","43"
"2024-05-26T00:00:00.000","Embassament de Susqueda (Osor)","308.26","27.8","64.68"
"2024-05-26T00:00:00.000","Embassament de Foix (Castellet i la Gornal)","98.33","66.9","2.5"
"2024-05-26T00:00:00.000","Embassament de Riudecanyes","194.46","2.6","0.14"
"2024-05-26T00:00:00.000","Embassament de la Llosa del Cavall (Navès)","774.42","26.2","20.92"
